Path,Hanno,OutSource,Issue,Approval
star|Kepler-25||radius,'1.31', '1.34', 'Mismatch'
star|Kepler-25||spectraltype,'', '<spectraltype>', 'Missing Tag'
star|Kepler-25||magR,'', '<magR>', 'Missing Tag'
star|Kepler-25||metallicity,'-0.040', '0.11', 'Mismatch'
star|Kepler-25||magV,'10.734', '10.77', 'Mismatch'
star|Kepler-25||magK,'', '<magK>', 'Missing Tag'
star|Kepler-25||magJ,'', '<magJ>', 'Missing Tag'
star|Kepler-25||planet|Kepler-25 d|,'', 'Kepler-25 d', 'Missing Block'
star|Kepler-25||magH,'', '<magH>', 'Missing Tag'
planet|Kepler-25 b||radius,'0.242', '0.2411', 'Mismatch'
planet|Kepler-25 b||list,'', '<list>', 'Missing Tag'
planet|Kepler-25 b||period,'6.23850000', '6.2385369', 'Mismatch'
planet|Kepler-25 b||eccentricity,'', '<eccentricity>', 'Missing Tag'
planet|Kepler-25 b||istransiting,'', '<istransiting>', 'Missing Tag'
planet|Kepler-25 b||transittime,'2455004.705410', '2454973.5126', 'Mismatch'
planet|Kepler-25 b||discoverymethod,'Transit', 'transit', 'Mismatch'
planet|Kepler-25 b||lastupdate,'2016-10-27', '15/06/09', 'Mismatch'
planet|Kepler-25 b||discoveryyear,'2011', '2012', 'Mismatch'
planet|Kepler-25 b||temperature,'', '<temperature>', 'Missing Tag'
planet|Kepler-25 b||description,'', '<description>', 'Missing Tag'
planet|Kepler-25 b||semimajoraxis,'', '<semimajoraxis>', 'Missing Tag'
star|Kepler-25||temperature,'6270.00', '6354', 'Mismatch'
star|Kepler-25||magB,'', '<magB>', 'Missing Tag'
star|Kepler-25||mass,'1.19', '1.26', 'Mismatch'
star|Kepler-25||age,'', '<age>', 'Missing Tag'
planet|Kepler-25 c||radius,'0.464', '0.4598', 'Mismatch'
planet|Kepler-25 c||spinorbitalignment,'', '<spinorbitalignment>', 'Missing Tag'
planet|Kepler-25 c||list,'', '<list>', 'Missing Tag'
planet|Kepler-25 c||period,'12.72040000', '12.7203678', 'Mismatch'
planet|Kepler-25 c||istransiting,'', '<istransiting>', 'Missing Tag'
planet|Kepler-25 c||transittime,'2455011.527300', '2454986.0871', 'Mismatch'
planet|Kepler-25 c||discoverymethod,'Transit', 'transit', 'Mismatch'
planet|Kepler-25 c||lastupdate,'2016-10-27', '15/06/09', 'Mismatch'
planet|Kepler-25 c||discoveryyear,'2011', '2012', 'Mismatch'
planet|Kepler-25 c||temperature,'', '<temperature>', 'Missing Tag'
planet|Kepler-25 c||description,'', '<description>', 'Missing Tag'
planet|Kepler-25 c||eccentricity,'', '<eccentricity>', 'Missing Tag'
planet|Kepler-25 c||semimajoraxis,'', '<semimajoraxis>', 'Missing Tag'
system|star|KOI-244|,'', '<star|KOI-244|>', 'Missing Tag'
system|distance,'', '<distance>', 'Missing Tag'
system|declination,'+39 29 16', '+38 20 37', 'Mismatch'
