# name,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
2M 2236+4751 b,12.5,1.5,1.5,,,,,,,,,,230.0,20.0,20.0,,,,,,,3.7,2016,2016-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200.0,,,,,,Published in a refereed paper,Imaging,Spectrum,,,"H2O, CO",2M 2236+4751,339.104166675,47.861944471,12.5,,,,,63.0,,,,,,0.6,0.05,0.05,,,,K7,0.12,0.01,0.01,,,,,,
38 Vir b,4.51,0.5,0.5,4.51,0.5,0.5,4.51,0.5,0.5,825.9,6.2,6.2,1.82,0.07,0.07,0.03,0.04,0.04,,,,,2016,2016-09-10,,,,,,,,,,2455490.2,177.3,177.3,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,HD 111998 b,,38 Vir,193.296489462,-3.55309929126,6.11,,,,,,,,0.07,,,1.18,0.12,0.12,1.45,0.07,0.07,F6 V,1.9,0.7,0.6,6557.0,96.0,96.0,,,"HD 111998, HIP 62875,"
EPIC 211822797 b,,,,,,,0.2,0.0089,0.018,21.169619,0.001729,0.001665,,,,0.18,0.15,0.27,89.5,0.4,0.3,,2016,2016-09-07,,,,,,,,,,2457123.23803,0.0043,0.00443,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,,,EPIC 211822797,130.410354179,17.6400055736,,,,,,,,,,,,0.61,0.02,0.02,0.59,0.03,0.03,,0.8,,,3880.0,67.0,67.0,,,
EPIC 211913977 b,,,,,,,0.18,0.0089,0.0089,14.677286,0.000804,0.000828,,,,0.1,0.08,0.18,89.4,0.5,0.4,,2016,2016-09-07,,,,,,,,,,2457152.68135,0.0023,0.00223,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,,,EPIC 211913977,130.344087508,18.9338750191,,,11.16,,,,,,,,,0.8,0.06,0.06,0.73,0.03,0.03,,0.8,,,4819.0,45.0,45.0,,,
EPIC 211916756 b,,,,,,,0.33,0.018,0.018,10.135091,0.000488,0.000495,,,,0.16,0.11,0.19,89.4,0.5,0.04,,2016,2016-09-07,,,,,,,,,,2457140.74083,0.00208,0.00205,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,,,EPIC 211916756,129.362741676,18.9766861385,,,,,,,,,,,,0.43,0.02,0.02,0.44,0.02,0.02,,0.8,,,3410.0,65.0,65.0,,,
EPIC 211969807 b,,,,,,,0.17,0.018,0.0089,1.97419,0.00011,0.00011,,,,0.18,0.14,0.29,88.0,1.9,1.4,,2016,2016-09-07,,,,,,,,,,2457140.38117,0.00261,0.00268,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,,,EPIC 211969807,129.636754178,19.7738277988,,,,,,,,,,,,0.51,50.02,50.02,0.48,0.02,0.02,,0.8,,,3660.0,67.0,67.0,,,
EPIC 211970147 b,,,,,,,0.12,0.0089,0.0089,9.915615,0.001195,0.001209,,,,0.1,0.07,0.16,89.0,0.6,0.6,,2016,2016-09-07,,,,,,,,,,2457139.65518,0.00539,0.00538,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,,,EPIC 211970147,130.056045838,19.7788111362,,,,,,,,,,,,0.77,0.06,0.06,0.71,0.03,0.03,,0.8,,,4695.0,50.0,50.0,,,
EPIC 211990866 b,,,,,,,0.31,0.018,0.018,1.673916,1.3e-05,1.2e-05,,,,0.24,0.12,0.19,85.1,3.1,3.3,,2016,2016-09-07,,,,,,,,,,2457144.06723,0.00037,0.00055,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,,,EPIC 211990866,129.601258341,20.1060638957,,,9.46,,,,,,,,,1.18,0.09,0.09,1.19,0.05,0.05,,0.8,,,6120.0,90.0,90.0,,,
EPIC 219388192 b,36.5,0.09,0.09,,,,0.937,0.042,0.042,5.292569,2.6e-05,2.6e-05,0.0593,0.0029,0.0029,0.1929,0.0019,0.0019,90.0,0.7,0.0,,2016,2016-10-28,345.9,1.0,1.0,,,,,,,2457346.32942,0.00011,0.00011,,,,,,,0.0,0.0,15.0,,,,4267.0,12.0,12.0,1164.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,EPIC 219388192,289.391666678,-16.871666688,12.5,,,,,300.0,24.0,24.0,0.03,0.08,0.08,0.99,0.05,0.05,1.01,0.04,0.04,G,3.9,1.9,1.9,5850.0,85.0,85.0,,,2MASS J19173402-1652177
EPIC 220674823 b,,,,,,,0.13,0.012,0.012,0.571308,3e-05,3e-05,0.011,,,0.0,,,80.2,10.7,7.0,,2016,2016-11-03,,,,,,,,,,2457437.42948,0.00085,0.0008,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,,,EPIC 220674823,13.0797796,10.7946987,12.0,,,,,,,,-0.28,0.25,0.25,0.93,0.01,0.01,0.83,0.04,0.04,,,,,5814.0,18.0,18.0,,,
