pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpern,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmaxn,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccenn,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orbincln,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassn,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_radn,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_densn,pl_ttvflag,pl_kepflag,pl_k2flag,ra_str,dec_str,ra,st_raerr,dec,st_decerr,st_posn,st_dist,st_disterr1,st_disterr2,st_distlim,st_distn,st_optmag,st_optmagerr,st_optmaglim,st_optmagblend,st_optband,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_teffn,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_massn,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,st_radn,pl_nnotes,rowupdate
K2-99,b,Transit,1,18.24900000,0.00100000,-0.00100000,0,1,0.159000,0.006000,-0.006000,0,1,0.190000,0.040000,-0.040000,0,1,87.700,0.300,-0.300,0,1,0.97000,0.09000,-0.09000,0,1,Mass,1.290,0.050,-0.050,0,1,,,,,0,0,0,1,13h55m05.70s,-05d26m32.9s,208.773747,0.000000,-5.442466,0.000000,1,606.00,32.00,-32.00,0,1,11.149,0.099,0,0,V (Johnson),5990.00,40.00,-40.00,0,0,1,1.60,0.14,-0.10,0,0,1,3.10,0.10,-0.10,0,0,1,0,2016-10-06
Kepler-21,b,Transit,1,2.78578000,0.00003000,-0.00003000,0,4,0.042717,0.000000,-0.000000,0,2,0.020000,0.100000,-0.100000,0,2,83.200,0.280,-0.260,0,2,0.01598,0.00541,-0.00541,0,2,Mass,0.146,0.002,-0.001,0,3,6.40000,2.10000,-2.10000,0,2,0,1,0,19h09m26.84s,+38d42m50.5s,287.361816,0.000002,38.714016,0.000002,3,113.00,7.00,-7.00,0,5,8.250,0.012,0,0,V (Johnson),6305.00,50.00,-50.00,0,0,6,1.41,0.02,-0.03,0,0,6,1.90,0.02,-0.01,0,0,7,2,2016-10-06
OGLE 2015-BLG-0051L,b,Microlensing,1,,,,,0,0.730000,0.080000,-0.080000,0,1,,,,,0,,,,,0,0.72000,0.65000,-0.07000,0,1,Mass,,,,,0,,,,,0,0,0,0,17h58m39.01s,-28d01m54.1s,269.662537,0.000000,-28.031694,0.000000,1,8200.00,900.00,-900.00,0,1,,,,,,,,,,0,0,0.10,0.09,-0.01,0,0,1,,,,,0,0,0,2016-10-06
Kepler-102,c,Transit,5,7.07142000,,,0,4,,,,,0,,,,,0,,,,,0,,,,,1,,0.052,0.002,-0.002,0,2,,,,,0,0,1,0,18h45m55.86s,+47d12m28.9s,281.482749,0.000028,47.208031,0.000017,2,,,,,1,11.492,,0,0,Kepler-band,4909.00,41.00,-41.00,0,0,5,0.81,0.04,-0.09,0,0,5,0.76,0.07,-0.07,0,0,6,1,2016-10-13
Kepler-102,f,Transit,5,27.45360000,,,0,3,,,,,0,,,,,0,,,,,0,,,,,1,,0.079,0.003,-0.003,0,2,,,,,0,0,1,0,18h45m55.86s,+47d12m28.9s,281.482749,0.000028,47.208031,0.000017,2,,,,,1,11.492,,0,0,Kepler-band,4909.00,41.00,-41.00,0,0,5,0.81,0.04,-0.09,0,0,5,0.76,0.07,-0.07,0,0,6,1,2016-10-13
Kepler-106,d,Transit,4,23.98020000,,,0,2,,,,,0,,,,,0,,,,,0,,,,,1,,0.085,0.012,-0.012,0,2,,,,,0,0,1,0,20h03m27.35s,+44d20m15.2s,300.863971,0.000017,44.337555,0.000017,2,,,,,1,12.882,,0,0,Kepler-band,5858.00,114.00,-114.00,0,0,4,1.00,0.06,-0.06,0,0,3,1.04,0.17,-0.17,0,0,4,1,2016-10-13
Kepler-109,c,Transit,2,21.22270000,,,0,4,,,,,0,,,,,1,,,,,0,,,,,1,,0.225,0.006,-0.006,0,3,,,,,0,0,1,0,19h21m34.25s,+40d17m05.5s,290.392721,0.000019,40.284875,0.000017,2,,,,,1,12.365,,0,0,Kepler-band,5952.00,75.00,-75.00,0,0,4,1.04,0.06,-0.06,0,0,3,1.32,0.04,-0.04,0,0,5,1,2016-10-13
Kepler-113,c,Transit,2,8.92507000,,,0,3,,,,,0,,,,,0,,,,,0,,,,,1,,0.194,0.005,-0.005,0,2,,,,,0,0,1,0,19h11m59.49s,+50d56m39.6s,287.997883,0.000017,50.944332,0.000017,2,,,,,1,13.461,,0,0,Kepler-band,4725.00,74.00,-74.00,0,0,4,0.75,0.06,-0.06,0,0,2,0.69,0.02,-0.02,0,0,4,1,2016-10-13
HD 88133,b,Radial Velocity,1,3.41486740,0.00004570,-0.00004730,0,3,0.046910,0.000800,-0.000800,0,3,0.050000,0.030000,-0.030000,0,3,15.000,6.000,-5.000,0,1,1.02000,0.61000,-0.28000,0,4,Mass,,,,,0,,,,,0,0,0,0,10h10m07.68s,+18d11m12.7s,152.531982,0.000003,18.186871,0.000001,2,74.46,5.92,-7.04,0,1,8.010,,0,0,V (Johnson),5438.00,34.00,-34.00,0,0,5,1.18,0.06,-0.06,0,0,4,1.94,0.06,-0.06,0,0,3,0,2016-10-13
Kepler-407,b,Transit,2,0.66931000,,,0,3,,,,,0,,,,,0,,,,,0,,,,,1,,0.095,0.002,-0.002,0,2,,,,,0,0,1,0,19h04m08.72s,+49d36m52.2s,286.036347,0.000017,49.614506,0.000017,2,,,,,0,12.521,,0,0,Kepler-band,5476.00,75.00,-75.00,0,0,3,1.00,0.06,-0.06,0,0,1,1.01,0.07,-0.07,0,0,3,1,2016-10-13
